epoch,SemSeg_mIoU,Depth_rmse,Edge_odsF,Normals_mean,Delta_m_percent
0,34.50,0.9229,0.3066,26.36,-16.332
5,36.95,0.8222,0.3196,25.33,-8.648
10,38.84,0.7640,0.3278,24.82,-3.948
15,39.98,0.7319,0.3291,24.58,-1.624
20,40.85,0.7132,0.3298,24.37,-0.073
25,41.35,0.7019,0.3267,24.27,0.510
30,41.65,0.6933,0.3292,24.16,1.368
35,41.85,0.6907,0.3321,24.11,1.902
40,42.03,0.6841,0.3286,24.05,2.026
45,42.06,0.6824,0.3307,24.01,2.339
50,42.17,0.6769,0.3279,23.97,2.417
55,42.28,0.6807,0.3276,23.91,2.376
60,42.36,0.6727,0.3275,23.87,2.771
65,42.40,0.6727,0.3278,23.83,2.866
70,42.34,0.6714,0.3267,23.82,2.793
75,42.46,0.6757,0.3245,23.78,2.550
80,42.48,0.6697,0.3263,23.77,2.965
85,42.49,0.6673,0.3276,23.72,3.233
90,42.55,0.6643,0.3233,23.70,3.029
95,42.51,0.6714,0.3233,23.73,2.696
100,42.48,0.6622,0.3247,23.69,3.202
105,42.47,0.6742,0.3220,23.65,2.536
110,42.51,0.6603,0.3238,23.65,3.259
115,42.52,0.6691,0.3223,23.62,2.824
120,42.58,0.6647,0.3236,23.60,3.168
125,42.60,0.6599,0.3215,23.56,3.225
130,42.64,0.6629,0.3209,23.57,3.069
135,42.54,0.6590,0.3223,23.58,3.272
140,42.59,0.6655,0.3228,23.54,3.138
145,42.57,0.6577,0.3229,23.55,3.426
150,42.53,0.6621,0.3222,23.52,3.202
155,42.52,0.6571,0.3231,23.51,3.480
160,42.74,0.6562,0.3228,23.53,3.602
165,42.68,0.6631,0.3234,23.50,3.382
170,42.63,0.6688,0.3220,23.48,3.029
175,42.63,0.6640,0.3210,23.49,3.116
180,42.61,0.6634,0.3214,23.50,3.152
185,42.63,0.6588,0.3210,23.48,3.329
190,42.67,0.6546,0.3219,23.48,3.596
195,42.60,0.6618,0.3224,23.46,3.339
200,42.61,0.6564,0.3210,23.44,3.454
205,42.66,0.6558,0.3212,23.46,3.504
210,42.68,0.6549,0.3218,23.43,3.636
215,42.63,0.6552,0.3197,23.44,3.398
220,42.64,0.6616,0.3206,23.45,3.224
225,42.67,0.6551,0.3226,23.44,3.682
230,42.63,0.6602,0.3214,23.44,3.354
235,42.65,0.6559,0.3216,23.47,3.518
240,42.66,0.6543,0.3218,23.44,3.636
245,42.68,0.6570,0.3212,23.41,3.524
250,42.65,0.6537,0.3221,23.43,3.691
255,42.65,0.6589,0.3213,23.42,3.429
260,42.65,0.6557,0.3213,23.43,3.543
265,42.66,0.6534,0.3215,23.41,3.678
270,42.72,0.6556,0.3212,23.42,3.592
275,42.67,0.6560,0.3211,23.43,3.526
280,42.70,0.6535,0.3222,23.42,3.749
285,42.75,0.6576,0.3204,23.43,3.451
290,42.63,0.6534,0.3217,23.45,3.633
295,42.69,0.6541,0.3219,23.43,3.682
299,42.68,0.6535,0.3215,23.44,3.653

BEST(epoch 280),42.70,0.6535,0.3222,23.42,3.749
